pc4,AANTAL_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW_HH,P_LINK_HH,P_HINK_HH,log_median_inc
1011.0,0.47638527333581254,0.4695957583705617,0.5304042416294384,0.16451000561379694,0.12204930439620829,0.4114406479944393,0.5862601177193243,0.263064753796392,0.5808211312087281,0.894752646197733,0.9706936230955229,0.6043632585923296,0.5555555555555556,0.5,0.25,0.16666666666666663,0.027387822331642563,0.5532163742690059,0.2537517053206003,0.571038356436283
1012.0,0.44105615470435106,0.596621089983802,0.40337891001619813,0.08603275747559486,0.16577773296720333,0.6992419454431533,0.35742894692140587,0.12252996422422088,1.0,0.9260190676375651,0.9821714685233199,0.7310189593974548,0.4444444444444444,0.6666666666666666,0.25,0.12499999999999993,0.014453409747882263,0.6222222222222222,0.1937244201909959,0.5329656492466806
1013.0,0.9371513573819263,0.38413076369412613,0.615869236305874,0.2861842088665013,0.07493290244888486,0.45263182586355016,0.5662739322533139,0.2143461834731223,0.1815963250071777,0.5578034682080925,0.8678591196434298,0.5509479698727383,0.4444444444444444,0.3333333333333333,0.25,0.24999999999999994,0.0487439987426643,0.5929824561403509,0.22783083219645298,0.5668334804470708
1014.0,0.06396429899590926,0.538300139087687,0.46169986091231313,0.45111296197958195,0.03524595798413056,0.683987110944201,0.37087704935691673,0.05745449128694321,0.037324145851277635,0.16732978004654306,0.6333789728202289,0.24993507055666175,0.5555555555555556,0.3333333333333333,0.125,0.33333333333333326,0.03955729495434078,0.33801169590643276,0.3983628922237381,0.7213240385496743
1015.0,0.7281517292673857,0.43331068846418375,0.5666893115358164,0.18512564207398818,0.10746669768158659,0.4390954777610386,0.5718074157513368,0.24727729098373924,0.5126327878265863,0.8523759477516704,0.9754712034258747,0.9518656393385854,0.5555555555555556,0.5,0.125,0.16666666666666663,0.029329427828249304,0.5637426900584795,0.26330150068212826,0.571038356436283
1016.0,0.5396058014131647,0.4646242751965499,0.5353757248034506,0.1457122659264683,0.10129934713094885,0.49207593116714055,0.525186075587503,0.24975124793481948,0.7062876830318691,0.9989114931311465,0.9987764733300318,0.9791360055406458,0.5555555555555556,0.5,0.125,0.16666666666666663,0.022527819977944518,0.5345029239766083,0.29467939972714874,0.5860732514462849
1017.0,0.5968761621420603,0.49574820347994397,0.5042517965200559,0.1965140189340303,0.14307380104053288,0.5138873353632286,0.4644076568002285,0.20156891280899603,0.4763135228251507,1.0,1.0,0.8094537269500476,0.5555555555555556,0.5,0.125,0.20833333333333334,0.013690405614955234,0.4538011695906433,0.3656207366984993,0.6315220212590866
1018.0,0.9274823354406843,0.4386760593890729,0.5613239406109272,0.23109567943512443,0.1403233936685262,0.4213163800302624,0.5595160223694994,0.21883178098285253,0.12230835486649436,0.6642894677576758,0.9073032889562153,0.5960522898450351,0.5555555555555556,0.3333333333333333,0.25,0.20833333333333334,0.04582397003745319,0.5532163742690059,0.25784447476125516,0.5724297942038165
1019.0,0.7110449981405726,0.40762260310163856,0.592377396898362,0.37187652943824295,0.1050129416213159,0.3648114361069579,0.7199556267718478,0.13581728516475575,0.029859316681022107,0.1677801966819308,0.6611996387683168,0.3713964158947277,0.5555555555555556,0.3333333333333333,0.25,0.375,0.038639461361515,0.3368421052631579,0.41609822646657574,0.7250731215773482
1021.0,0.2844923763480848,0.44445070597699965,0.5555492940230002,0.3699147375797683,0.12323764858631245,0.4353799161277526,0.5143290716242083,0.17598631423290834,0.03962101636520241,0.03783499737256963,0.231159145861858,0.24058523071595533,0.3333333333333333,0.3333333333333333,0.625,0.2916666666666667,0.08406928110290153,0.7134502923976608,0.0927694406548431,0.5156454650531926
